,Pos,frequency,gen,New_freq
0,2,0.0002465218664895576,8,0.00039999999999995595
1,5,0.0002518223366412601,8,0.00039999999999995595
2,8,0.0002740243059559383,8,0.00039999999999995595
3,11,0.0002613231793660098,8,0.00039999999999995595
4,13,0.0002803248648155091,8,0.00039999999999995595
5,14,0.00026422343661882807,8,0.00039999999999995595
6,17,0.0002594230108210598,8,0.00039999999999995595
7,20,0.0002918258849559956,8,0.00039999999999995595
8,23,0.0002483220261637207,8,0.00039999999999995595
9,26,0.00025902297533791246,8,0.00039999999999995595
10,29,0.00026932388902895687,8,0.00039999999999995595
11,32,0.00025362249631542317,8,0.00039999999999995595
12,35,0.0002446216979446077,8,0.00039999999999995595
13,38,0.000259323001950273,8,0.00039999999999995595
14,41,0.00024052133424234728,8,0.00039999999999995595
15,43,0.00023092048264681077,8,0.00039999999999995595
16,44,0.00026412342774804126,8,0.00039999999999995595
17,47,0.0002658235785514175,8,0.00039999999999995595
18,50,0.0002674237204840069,8,0.00039999999999995595
19,52,0.0002650235075851228,8,0.00039999999999995595
20,53,0.00026692367613007274,8,0.00039999999999995595
21,56,0.0002508222479333917,8,0.00039999999999995595
22,59,0.0002602230817873545,8,0.00039999999999995595
23,62,0.00027472436805144615,8,0.00039999999999995595
24,65,0.0002676237382255806,8,0.00039999999999995595
25,68,0.0002565227535682415,8,0.00039999999999995595
26,71,0.0002507222390626049,8,0.00039999999999995595
27,72,0.0002812249446525907,8,0.00039999999999995595
28,74,0.0002518223366412601,8,0.00039999999999995595
29,77,0.00025282242534912846,8,0.00039999999999995595
30,80,0.00025812289550083094,8,0.00039999999999995595
31,83,0.0002701239599952516,8,0.00039999999999995595
32,84,0.0002532224608322758,8,0.00039999999999995595
33,86,0.0002657235696806307,8,0.00039999999999995595
34,89,0.0002732242349896436,8,0.00039999999999995595
35,92,0.0002621232503323045,8,0.00039999999999995595
36,95,0.00025802288663004407,8,0.00039999999999995595
37,98,0.0002395212455344789,8,0.00039999999999995595
38,101,0.0002698239333828911,8,0.00039999999999995595
39,103,0.0002640234188772544,8,0.00039999999999995595
40,104,0.00025482260276486524,8,0.00039999999999995595
41,107,0.0002596230285626335,8,0.00039999999999995595
42,110,0.0002503222035794575,8,0.00039999999999995595
43,111,0.0002585229309839783,8,0.00039999999999995595
44,112,0.0002803248648155091,8,0.00039999999999995595
45,113,0.0002609231438828624,8,0.00039999999999995595
46,116,0.00024402164471988666,8,0.00039999999999995595
47,119,0.00025812289550083094,8,0.00039999999999995595
48,122,0.00023632096166930006,8,0.00039999999999995595
49,124,0.00025382251405699685,8,0.00039999999999995595
50,125,0.00025542265598958627,8,0.00039999999999995595
51,126,0.00027052399547839893,8,0.00039999999999995595
52,128,0.00025642274469745465,8,0.00039999999999995595
53,130,0.0002887256099616036,8,0.00039999999999995595
54,131,0.00024872206164686805,8,0.00039999999999995595
55,134,0.00025222237212440743,8,0.00039999999999995595
56,137,0.00028442522851776953,8,0.00039999999999995595
57,140,0.00025352248744463636,8,0.00039999999999995595
58,143,0.000274824376922233,8,0.00039999999999995595
59,144,0.0002803248648155091,8,0.00039999999999995595
60,146,0.0002549226116356521,8,0.00039999999999995595
61,149,0.00024382162697831299,8,0.00039999999999995595
62,150,0.0002577228600176836,8,0.00039999999999995595
63,152,0.000277924651916625,8,0.00039999999999995595
64,155,0.0002550226205064389,8,0.00039999999999995595
65,158,0.00025482260276486524,8,0.00039999999999995595
66,161,0.0002646234721019754,8,0.00039999999999995595
67,162,0.00024142141407942886,8,0.00039999999999995595
68,164,0.0002647234809727623,8,0.00039999999999995595
69,166,0.00026612360516377803,8,0.00039999999999995595
70,167,0.00024112138746706834,8,0.00039999999999995595
71,170,0.00025462258502329156,8,0.00039999999999995595
72,173,0.00025542265598958627,8,0.00039999999999995595
73,176,0.00027212413741098835,8,0.00039999999999995595
74,178,0.00024772197293899967,8,0.00039999999999995595
75,179,0.00025362249631542317,8,0.00039999999999995595
76,182,0.0002463218487479839,8,0.00039999999999995595
77,185,0.00024772197293899967,8,0.00039999999999995595
78,188,0.00027192411966941467,8,0.00039999999999995595
79,189,0.00026842380919187535,8,0.00039999999999995595
80,191,0.00026362338339410704,8,0.00039999999999995595
81,194,0.0002646234721019754,8,0.00039999999999995595
82,197,0.0002784246962705592,8,0.00039999999999995595
83,200,0.0002541225406693574,8,0.00039999999999995595
84,201,0.0002668236672592859,8,0.00039999999999995595
85,203,0.00027812466965819867,8,0.00039999999999995595
86,206,0.00026422343661882807,8,0.00039999999999995595
87,209,0.00025362249631542317,8,0.00039999999999995595
88,212,0.00026952390677053054,8,0.00039999999999995595
89,215,0.0002508222479333917,8,0.00039999999999995595
90,218,0.00027212413741098835,8,0.00039999999999995595
91,219,0.0002570227979221757,8,0.00039999999999995595
92,221,0.0002508222479333917,8,0.00039999999999995595
93,224,0.00027202412854020154,8,0.00039999999999995595
94,227,0.0002588229575963388,8,0.00039999999999995595
95,230,0.00026702368500085955,8,0.00039999999999995595
96,233,0.0002786247140121329,8,0.00039999999999995595
97,236,0.00026152319710758345,8,0.00039999999999995595
98,239,0.00025792287775925726,8,0.00039999999999995595
99,242,0.0002735242616020041,8,0.00039999999999995595
